Identification,Transect number,Species code,Species,Start (meters),End (meters),Maximum height (meters),Cover (meters)
Identification ,Numéro du transect ,Code de l’espèce,Espèce,Début (mètres),Fin (mètres),Hauteur maximale (mètres),Couverture (mètres)
572,T09,Betu gla,Betula glandulosa,19.06,19.21,24,0.15
573,T09,Alnu cri,Alnus crispa,19.61,19.72,30,0.11
574,T09,Alnu cri,Alnus crispa,19.77,20.09,28,0.32
575,T09,Betu gla,Betula glandulosa,20.29,20.32,19,0.03
576,T09,Betu gla,Betula glandulosa,20.38,20.52,42,0.14
577,T09,Betu gla,Betula glandulosa,20.75,20.77,18,0.02
578,T09,Betu gla,Betula glandulosa,21.87,21.90,30,0.03
579,T09,Betu gla,Betula glandulosa,22.02,22.10,29,0.08
580,T09,Betu gla,Betula glandulosa,22.16,23.12,52,0.96
581,T09,Sali pul,Salix pulchra,23.14,23.17,33,0.03
582,T09,Alnu cri,Alnus crispa,23.70,23.82,19,0.12
583,T09,Betu gla,Betula glandulosa,23.93,23.99,24,0.06
584,T09,Betu gla,Betula glandulosa,24.19,24.21,25,0.02
585,T09,Betu gla,Betula glandulosa,24.65,24.67,14,0.02
586,T09,Betu gla,Betula glandulosa,24.77,24.94,28,0.17
587,T09,Sali pul,Salix pulchra,25.09,25.11,26,0.02
588,T09,Sali pul,Salix pulchra,25.23,25.26,23,0.03
589,T09,Betu gla,Betula glandulosa,26.83,26.99,18,0.16
590,T09,Betu gla,Betula glandulosa,27.06,27.08,17,0.02
591,T09,Sali pul,Salix pulchra,28.46,28.51,24,0.05
592,T09,Sali pul,Salix pulchra,28.56,28.64,19,0.08
593,T09,Betu gla,Betula glandulosa,29.67,29.97,28,0.30
594,T09,Alnu cri,Alnus crispa,29.97,30.00,62,0.03
595,T10,Betu gla,Betula glandulosa,0.21,0.29,44,0.08
596,T10,Alnu cri,Alnus crispa,0.55,0.79,65,0.24
597,T10,Betu gla,Betula glandulosa,1.01,1.03,26,0.02
598,T10,Betu gla,Betula glandulosa,1.86,2.09,34,0.23
599,T10,Betu gla,Betula glandulosa,2.14,2.20,20,0.06
600,T10,Betu gla,Betula glandulosa,2.24,2.26,9,0.02
601,T10,Betu gla,Betula glandulosa,2.42,2.67,34,0.25
602,T10,Betu gla,Betula glandulosa,3.10,3.14,10,0.04
603,T10,Sali pul,Salix pulchra,3.15,3.21,43,0.06
604,T10,Alnu cri,Alnus crispa,3.70,4.01,37,0.31
605,T10,Sali pul,Salix pulchra,4.52,4.59,43,0.07
606,T10,Sali pul,Salix pulchra,4.76,4.80,47,0.04
607,T10,Betu gla,Betula glandulosa,5.01,5.05,49,0.04
608,T10,Betu gla,Betula glandulosa,5.18,5.30,25,0.12
609,T10,Betu gla,Betula glandulosa,5.43,5.47,36,0.04
610,T10,Sali pul,Salix pulchra,5.40,5.47,33,0.07
611,T10,Sali pul,Salix pulchra,5.58,5.72,36,0.14
612,T10,Betu gla,Betula glandulosa,5.70,5.87,32,0.17
613,T10,Sali pul,Salix pulchra,6.20,6.37,27,0.17
614,T10,Sali pul,Salix pulchra,6.67,6.72,23,0.05
615,T10,Betu gla,Betula glandulosa,6.74,6.78,13,0.04
616,T10,Sali pul,Salix pulchra,6.83,6.86,22,0.03
617,T10,Betu gla,Betula glandulosa,7.14,7.25,30,0.11
618,T10,Sali pul,Salix pulchra,8.53,8.72,41,0.19
619,T10,Sali pul,Salix pulchra,9.22,9.26,39,0.04
620,T10,Sali pul,Salix pulchra,9.31,9.44,47,0.13
621,T10,Betu gla,Betula glandulosa,10.36,10.39,40,0.03
622,T10,Sali pul,Salix pulchra,10.89,11.04,47,0.15
623,T10,Betu gla,Betula glandulosa,11.63,11.80,21,0.17
624,T10,Sali pul,Salix pulchra,12.72,12.84,32,0.12
625,T10,Sali pul,Salix pulchra,13.14,13.21,32,0.07
626,T10,Betu gla,Betula glandulosa,13.47,13.60,37,0.13
627,T10,Betu gla,Betula glandulosa,13.83,13.95,55,0.12
628,T10,Sali pul,Salix pulchra,14.59,14.70,63,0.11
629,T10,Alnu cri,Alnus crispa,14.62,14.71,42,0.09
630,T10,Sali pul,Salix pulchra,14.97,15.28,51,0.31
631,T10,Betu gla,Betula glandulosa,15.39,15.53,29,0.14
632,T10,Betu gla,Betula glandulosa,15.73,15.76,26,0.03
633,T10,Betu gla,Betula glandulosa,16.16,16.19,8,0.03
634,T10,Betu gla,Betula glandulosa,16.73,16.83,28,0.10
635,T10,Betu gla,Betula glandulosa,17.35,17.43,43,0.08
636,T10,Sali pul,Salix pulchra,17.67,17.70,14,0.03
637,T10,Betu gla,Betula glandulosa,18.43,18.47,34,0.04
638,T10,Alnu cri,Alnus crispa,18.45,18.56,42,0.11
639,T10,Betu gla,Betula glandulosa,17.73,17.76,12,0.03
640,T10,Betu gla,Betula glandulosa,18.91,19.14,35,0.23
641,T10,Betu gla,Betula glandulosa,19.25,19.45,27,0.20
642,T10,Betu gla,Betula glandulosa,19.59,19.86,44,0.27
643,T10,Betu gla,Betula glandulosa,20.19,20.63,47,0.44
644,T10,Betu gla,Betula glandulosa,20.80,21.05,31,0.25
645,T10,Betu gla,Betula glandulosa,21.45,21.55,29,0.10
646,T10,Betu gla,Betula glandulosa,21.64,21.69,32,0.05
647,T10,Sali pul,Salix pulchra,21.76,21.80,31,0.04
648,T10,Betu gla,Betula glandulosa,22.13,22.16,35,0.03
649,T10,Betu gla,Betula glandulosa,22.24,22.31,30,0.07
650,T10,Betu gla,Betula glandulosa,22.45,22.66,42,0.21
651,T10,Betu gla,Betula glandulosa,24.20,24.29,40,0.09
652,T10,Betu gla,Betula glandulosa,24.92,25.10,29,0.18
653,T10,Betu gla,Betula glandulosa,26.96,27.19,21,0.23
654,T10,Betu gla,Betula glandulosa,28.55,28.57,30,0.02
